2021-Dec-4,201204-G1C,A1,85426
2021-Dec-4,201204-G1C,A2,90535
2021-Dec-4,201204-G1C,A3,56744
2021-Dec-4,201204-G1C,A4,67329
2021-Dec-4,201204-G1C,B1,66810
2021-Dec-4,201204-G1C,B2,96382
2021-Dec-4,201204-G1C,B3,41364
2021-Dec-4,201204-G1C,B4,68159
2021-Dec-4,201204-G1C,B5,56031
2021-Dec-4,201204-G1C,C1,97071
2021-Dec-4,201204-G1C,C2,96749
2021-Dec-4,201204-G1C,C3,65655
2021-Dec-4,201204-G1C,C4,17945
2021-Dec-4,201204-G1C,D1,98771
2021-Dec-4,201204-G1C,D2,66860
2021-Dec-4,201204-G1C,D3,77112
2021-Dec-4,201204-G1C,D4,54589
2021-Dec-4,201204-G1C,D5,84377
2021-Dec-4,201204-G1C,E1,88000
2021-Dec-4,201204-G1C,E2,97211
2021-Dec-4,201204-G1C,E3,92592
2021-Dec-4,201204-G1C,E4,77430
2021-Dec-4,201204-G1C,F1,120565
2021-Dec-4,201204-G1C,F2,84051
2021-Dec-4,201204-G1C,F3,91842
2021-Dec-4,201204-G1C,F4,91569
2021-Dec-4,201204-G1C,F5,75585
